ID;Age;Work_Experience;Family_Size
462809;22;1.0;4.0
462643;38;;3.0
466315;67;1.0;1.0
461735;67;0.0;2.0
462669;40;;6.0
461319;56;0.0;2.0
460156;32;1.0;3.0
464347;33;1.0;3.0
465015;61;0.0;3.0
465176;55;1.0;4.0
464041;26;1.0;3.0
464942;19;4.0;4.0
461230;19;0.0;
459573;70;;1.0
460849;58;0.0;1.0
460563;41;1.0;2.0
466865;32;9.0;5.0
461644;31;1.0;6.0
466772;58;1.0;4.0
464291;79;0.0;1.0
466084;49;12.0;1.0
459675;18;3.0;4.0
465602;33;13.0;2.0
459168;36;5.0;2.0
461021;58;1.0;3.0
465083;56;1.0;3.0
467604;31;9.0;8.0
459717;49;1.0;3.0
465882;35;0.0;1.0
461996;35;5.0;4.0
463331;45;0.0;3.0
462216;42;1.0;2.0
462454;19;1.0;3.0
467010;26;9.0;
459861;83;1.0;2.0
467917;27;3.0;4.0
465572;32;5.0;1.0
460593;28;1.0;5.0
465891;28;8.0;2.0
467442;56;;2.0
462044;47;4.0;1.0
465686;22;0.0;2.0
464590;27;14.0;3.0
466006;49;1.0;2.0
466152;40;8.0;1.0
463156;79;;2.0
465729;41;0.0;4.0
462384;29;;1.0
462442;19;0.0;4.0
464191;45;1.0;1.0
462078;61;1.0;2.0
467873;36;1.0;2.0
461270;40;1.0;1.0
462960;57;0.0;2.0
464961;76;1.0;1.0
462110;32;14.0;2.0
465769;25;9.0;4.0
462267;32;8.0;2.0
465269;45;1.0;3.0
460881;72;1.0;
461891;48;0.0;2.0
466935;55;9.0;2.0
464091;74;0.0;3.0
464535;56;1.0;2.0
463108;59;7.0;2.0
461356;25;0.0;2.0
464570;31;0.0;2.0
464580;27;8.0;4.0
465233;57;0.0;4.0
467208;39;;2.0
459954;27;8.0;2.0
460219;51;8.0;2.0
460877;47;0.0;5.0
460191;33;8.0;4.0
463742;56;0.0;4.0
463691;33;0.0;3.0
463250;36;0.0;2.0
463952;51;4.0;3.0
461558;45;2.0;2.0
466567;49;1.0;1.0
465379;30;0.0;4.0
463814;26;6.0;3.0
466938;63;8.0;1.0
460671;35;8.0;4.0
462204;19;1.0;3.0
461671;32;7.0;5.0
459384;52;0.0;3.0
459905;36;5.0;2.0
464734;42;7.0;3.0
464125;40;0.0;2.0
467434;39;0.0;3.0
460956;47;1.0;4.0
465179;61;1.0;2.0
463338;32;1.0;2.0
467066;55;0.0;1.0
463845;58;;1.0
459976;38;0.0;1.0
461334;63;0.0;2.0
465108;58;1.0;2.0
462600;30;3.0;3.0
464144;60;0.0;4.0
466911;68;1.0;7.0
462806;52;0.0;3.0
463426;38;0.0;5.0
464065;35;10.0;2.0
462979;18;1.0;2.0
462834;30;3.0;2.0
460764;86;1.0;1.0
466466;19;6.0;5.0
460185;25;9.0;3.0
459749;59;;4.0
464406;39;0.0;1.0
467758;50;1.0;
462059;47;1.0;1.0
467905;43;0.0;3.0
461177;36;8.0;4.0
460765;80;1.0;1.0
465386;36;0.0;2.0
465827;27;2.0;7.0
462332;37;1.0;2.0
464481;46;0.0;3.0
461011;55;1.0;4.0
464749;47;9.0;4.0
461094;28;1.0;3.0
462104;39;9.0;2.0
464524;27;1.0;2.0
466295;42;0.0;
461787;72;0.0;2.0
467857;28;0.0;2.0
460153;35;8.0;5.0
465215;39;9.0;5.0
466746;69;0.0;2.0
464857;18;6.0;4.0
459478;46;;1.0
460723;50;1.0;2.0
459853;30;5.0;5.0
459390;41;;2.0
460410;39;3.0;4.0
463823;29;8.0;4.0
462008;37;4.0;4.0
459750;39;0.0;2.0
459880;48;0.0;5.0
459261;32;0.0;3.0
465656;78;1.0;
465395;43;0.0;5.0
461631;29;8.0;5.0
464904;28;9.0;2.0
461740;80;1.0;1.0
467092;28;7.0;4.0
464173;71;6.0;3.0
464972;67;0.0;9.0
467959;26;0.0;1.0
467688;47;0.0;2.0
460043;43;2.0;2.0
466590;27;0.0;4.0
461191;45;8.0;4.0
465662;76;1.0;1.0
459231;43;3.0;4.0
466495;78;1.0;2.0
459192;35;3.0;3.0
465710;49;1.0;1.0
460258;25;1.0;5.0
462813;37;0.0;5.0
463595;32;1.0;5.0
467768;60;0.0;2.0
465291;45;5.0;3.0
462996;49;9.0;3.0
463497;32;0.0;5.0
465301;40;0.0;3.0
464702;59;2.0;2.0
459012;48;3.0;5.0
465053;82;0.0;2.0
459420;70;0.0;2.0
464166;31;5.0;2.0
458987;72;0.0;2.0
467745;50;3.0;4.0
464866;23;11.0;1.0
461081;20;2.0;6.0
467896;22;4.0;3.0
463991;31;8.0;1.0
466620;36;7.0;2.0
462594;52;;5.0
462206;29;;1.0
460697;40;4.0;4.0
467934;40;1.0;1.0
460054;38;;2.0
459576;85;;
467910;21;1.0;3.0
467335;41;4.0;2.0
460263;40;0.0;2.0
459340;53;1.0;3.0
465622;42;5.0;2.0
459395;42;8.0;2.0
467539;48;;4.0
466574;59;7.0;2.0
466544;41;1.0;3.0
463610;31;0.0;2.0
465539;49;1.0;5.0
459823;67;1.0;2.0
467614;35;4.0;2.0
459073;26;0.0;3.0
466065;19;9.0;3.0
464863;25;6.0;8.0
460022;39;4.0;2.0
459929;63;0.0;2.0
466613;23;8.0;3.0
461149;23;0.0;3.0
466068;53;2.0;1.0
461513;33;0.0;2.0
464761;50;;4.0
466236;69;0.0;2.0
459664;37;2.0;1.0
461967;20;3.0;4.0
460516;85;0.0;1.0
461710;49;1.0;4.0
462742;18;0.0;3.0
459528;52;0.0;2.0
462691;25;;2.0
462934;56;;2.0
465837;62;0.0;1.0
464613;35;0.0;3.0
467515;28;0.0;2.0
463429;28;7.0;3.0
464024;20;0.0;5.0
460691;27;8.0;1.0
461825;56;;1.0
467271;45;4.0;4.0
465634;25;1.0;4.0
464801;40;1.0;1.0
459429;25;;2.0
459888;74;;2.0
463467;23;0.0;4.0
462036;67;0.0;2.0
461282;21;0.0;4.0
460448;38;9.0;1.0
464464;28;0.0;4.0
462410;32;1.0;5.0
467252;33;0.0;4.0
